,MetLife Stadium,Mercedes-Benz Stadium,Gillette Stadium,AT&T Stadium,NRG Stadium,Arrowhead Stadium,SoFi Stadium,Hard Rock Stadium,Lincoln Financial Field,Levi's Stadium,Lumen Field,BMO Field,BC Place,Estadio Azteca,Estadio Akron,Estadio BBVA,Port of Los Angeles / Long Beach,Port of New York / New Jersey,Port of Houston,Port of Vancouver,Port of Manzanillo,Port of Veracruz
MetLife Stadium,0.0,1360.1,337.7,2602.2,2634.5,1928.7,4503.9,2044.0,150.6,4705.7,4589.8,768.8,4807.6,4350.8,4342.3,3499.9,4506.2,32.2,2611.1,4811.5,4613.9,4325.3
Mercedes-Benz Stadium,1358.9,0.0,1694.6,1292.9,1286.4,1265.7,3525.8,1047.3,1213.8,3923.4,4243.2,1509.0,4461.0,2857.5,2859.8,2017.4,3528.2,1351.4,1265.0,4465.0,3131.4,2832.0
Gillette Stadium,334.8,1693.2,0.0,2970.2,2957.6,2250.8,4841.8,2377.1,483.8,5043.6,4853.5,880.2,5071.3,4718.8,4710.4,3867.9,4844.2,353.5,2934.2,5075.2,4981.9,4693.3
AT&T Stadium,2582.1,1293.3,2977.3,0.0,427.8,840.4,2311.5,2150.0,2482.9,2709.1,3333.0,2375.4,3550.8,1851.1,1787.5,945.1,2313.9,2569.8,461.3,3554.8,2059.0,1848.2
NRG Stadium,2607.9,1287.1,2948.0,428.7,0.0,1244.4,2510.7,1900.6,2465.0,3070.1,3745.4,2552.3,3963.2,1577.6,1580.0,737.5,2503.6,2595.7,51.4,3967.2,1851.5,1552.1
Arrowhead Stadium,1937.1,1261.6,2254.5,837.4,1241.7,0.0,2562.6,2308.2,1801.4,2960.2,2982.8,1633.6,3200.7,2720.0,2711.6,1869.2,2564.9,1931.4,1266.9,3204.6,2983.1,2694.6
SoFi Stadium,4514.0,3525.4,4843.7,2312.0,2510.8,2563.5,0.0,4474.6,4364.3,568.6,1849.4,4076.2,2077.8,3012.2,2441.4,2520.5,35.4,4508.3,2550.0,2081.8,2706.3,3354.7
Hard Rock Stadium,2044.9,1047.3,2380.6,2151.0,1900.2,2312.4,4474.8,0.0,1899.9,4872.4,5289.9,2338.6,5507.7,3471.2,3473.6,2631.1,4477.2,2037.4,1878.7,5511.7,3745.1,3445.7
Lincoln Financial Field,155.3,1214.4,491.0,2384.3,2484.2,1807.3,4369.3,1898.2,0.0,4673.7,4557.7,775.4,4775.6,4055.3,4124.4,3282.0,4371.6,147.8,2460.8,4779.5,4395.9,4029.8
Levi's Stadium,4717.2,3923.6,5046.9,2710.2,3068.2,2961.8,566.8,4872.9,4675.5,0.0,1355.9,4279.3,1584.3,3543.2,2972.4,3051.6,599.7,4711.5,3129.7,1588.3,3237.4,3885.8
Lumen Field,4598.3,4239.1,4855.3,3334.1,3745.9,2982.9,1844.1,5285.7,4556.7,1352.2,0.0,4087.7,231.8,4644.9,4185.0,3832.9,1877.0,4592.6,3779.4,235.8,4450.0,4773.4
BMO Field,770.3,1506.6,880.0,2363.6,2539.8,1632.7,4073.5,2337.5,774.2,4275.3,4085.2,0.0,4303.0,4112.2,4103.8,3261.3,4075.9,763.5,2565.0,4306.9,4375.3,4086.7
BC Place,4818.7,4459.5,5075.6,3554.5,3966.3,3203.3,2073.9,5506.1,4777.0,1582.0,232.5,4308.1,0.0,4865.3,4405.4,4053.2,2106.8,4813.0,3999.8,3.0,4670.3,4993.7
Estadio Azteca,4318.5,2846.6,4713.7,1846.0,1566.1,2780.0,2994.2,3460.0,4219.3,3523.4,4674.2,4111.8,4892.1,0.0,560.2,927.0,2971.1,4306.2,1605.5,4896.0,831.7,410.0
Estadio Akron,4315.3,2854.2,4710.5,1783.1,1573.8,2776.7,2442.3,3467.7,4216.1,2971.5,4194.4,4108.6,4412.3,579.0,0.0,864.0,2419.1,4303.0,1613.1,4416.2,290.6,921.5
Estadio BBVA,3475.8,2014.7,3871.0,943.6,734.3,1937.2,2518.4,2628.2,3376.6,3047.6,3829.4,3269.1,4047.2,933.3,869.8,0.0,2511.3,3463.5,773.6,4051.1,1141.3,945.6
Port of Los Angeles / Long Beach,4521.8,3533.2,4851.5,2319.8,2518.6,2571.4,35.6,4482.4,4372.2,601.5,1882.3,4084.0,2110.7,3020.0,2449.2,2528.3,0.0,4516.1,2557.8,2114.7,2714.2,3362.6
Port of New York / New Jersey,21.9,1352.8,357.3,2581.7,2614.0,1892.4,4507.1,2036.7,143.4,4708.9,4592.9,765.5,4810.8,4330.3,4321.8,3479.4,4509.4,0.0,2590.7,4814.7,4593.4,4304.8
Port of Houston,2582.2,1262.6,2922.4,461.3,51.4,1268.9,2548.2,1876.0,2439.3,3127.9,3778.0,2576.8,3995.8,1617.1,1619.5,777.0,2541.0,2570.0,0.0,3999.8,1891.0,1591.6
Port of Vancouver,4821.2,4462.0,5078.1,3557.0,3968.8,3205.8,2076.4,5508.6,4779.5,1584.5,235.0,4310.6,2.8,4867.8,4407.8,4055.7,2109.3,4815.5,4002.2,0.0,4672.8,4996.2
Port of Manzanillo,4587.6,3126.5,4982.8,2055.4,1846.1,3049.0,2709.1,3740.0,4488.4,3238.3,4461.3,4380.9,4679.1,851.3,292.5,1136.3,2686.0,4575.3,1885.4,4683.0,0.0,1193.8
Port of Veracruz,4292.2,2820.3,4687.4,1836.2,1539.8,2753.6,3350.9,3433.7,4193.0,3880.1,4751.5,4085.5,4969.3,413.8,916.9,940.1,3327.8,4279.9,1579.2,4973.3,1188.4,0.0
