,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,D01,D02,D03,D04,D05,D06
S01,0.0,1264.2,339.4,2184.6,2288.2,1707.0,3872.3,1833.6,160.2,4045.6,3745.1,705.7,3955.8,3586.0,3563.6,2860.4,3883.7,33.9,2289.5,3959.7,3775.3,3550.8
S02,1268.2,0.0,1599.6,1151.3,1116.6,1105.3,3043.6,931.8,1133.4,3363.8,3469.5,1336.5,3680.2,2429.8,2413.5,1710.3,3054.9,1259.8,1097.0,3684.1,2625.2,2394.6
S03,329.3,1585.7,0.0,2493.0,2608.6,2005.5,4131.1,2155.1,481.7,4304.4,3976.4,813.7,4187.1,3894.4,3872.0,3168.8,4142.4,351.9,2609.8,4191.1,4083.7,3859.2
S04,2184.6,1154.1,2501.3,0.0,398.2,837.5,2000.2,1870.5,2071.9,2320.4,2769.7,1931.2,2980.4,1583.4,1527.2,824.0,2011.6,2169.6,427.8,2984.3,1738.9,1540.4
S05,2289.9,1123.0,2610.4,407.4,0.0,1052.1,2236.1,1658.6,2162.3,2678.1,3153.4,2063.0,3364.1,1330.1,1313.8,610.6,2242.8,2274.9,64.8,3368.0,1525.5,1295.0
S06,1713.5,1104.2,2009.6,834.7,1051.2,0.0,2221.2,2034.8,1628.0,2541.5,2372.6,1333.9,2583.4,2314.3,2291.8,1588.6,2232.6,1721.0,1068.4,2587.3,2503.5,2279.1
S07,3905.6,3043.5,4155.7,1994.3,2224.7,2219.8,0.0,3834.6,3844.1,505.2,1559.9,3464.3,1782.3,2443.5,2009.4,2150.2,47.0,3913.0,2271.3,1786.2,2211.5,2709.2
S08,1836.9,935.6,2168.3,1874.3,1653.9,2038.0,3840.4,0.0,1702.1,4160.7,4402.2,2116.4,4612.9,2967.1,2950.8,2247.6,3851.8,1828.5,1634.3,4616.8,3162.5,2932.0
S09,160.3,1126.5,491.7,2075.5,2160.2,1629.4,3846.9,1695.9,0.0,4034.8,3734.2,735.8,3944.9,3473.4,3454.5,2751.3,3858.3,151.9,2161.4,3948.8,3666.2,3438.2
S10,4060.6,3365.2,4310.7,2316.1,2662.4,2541.6,500.2,4156.3,4039.3,0.0,1147.9,3619.3,1370.3,2893.8,2459.7,2600.5,533.9,4068.0,2698.3,1374.2,2661.8,3159.6
S11,3751.1,3493.7,3975.6,2769.0,3144.6,2396.0,1553.1,4424.2,3729.7,1143.2,0.0,3284.2,232.6,3835.2,3462.1,3129.9,1586.8,3758.5,3174.2,236.5,3664.2,3887.1
S12,708.0,1335.9,813.3,1932.8,2061.7,1332.8,3439.3,2108.8,733.1,3612.7,3284.6,0.0,3495.4,3334.3,3311.8,2608.7,3450.7,722.0,2079.0,3499.3,3523.5,3299.1
S13,3963.2,3705.8,4187.7,2981.1,3356.7,2608.1,1779.3,4636.3,3941.8,1369.4,233.2,3496.3,0.0,4047.3,3674.2,3342.0,1813.0,3970.6,3386.3,6.9,3876.3,4099.2
S14,3588.6,2439.9,3905.3,1585.5,1330.4,2315.4,2447.9,2975.5,3475.9,2901.1,3838.3,3335.3,4049.0,0.0,439.2,793.3,2436.8,3573.6,1371.9,4052.9,650.9,340.8
S15,3562.3,2420.0,3879.0,1532.3,1310.5,2289.2,2024.3,2955.6,3449.7,2477.6,3467.8,3309.0,3678.5,449.3,0.0,740.1,2013.3,3547.4,1352.1,3682.4,240.4,715.1
S16,2860.0,1717.7,3176.7,830.0,608.2,1586.9,2160.7,2253.3,2747.3,2613.9,3122.5,2606.7,3333.2,793.5,737.2,0.0,2167.3,2845.0,649.8,3337.1,948.9,770.2
D01,3913.1,3051.0,4163.2,2001.8,2232.2,2227.3,48.9,3842.1,3851.6,538.4,1593.1,3471.8,1815.5,2451.0,2016.9,2157.7,0.0,3920.5,2278.8,1819.5,2219.0,2716.7
D02,32.9,1255.3,363.2,2172.9,2276.5,1722.1,3889.2,1824.7,151.3,4062.5,3762.0,728.1,3972.7,3574.3,3551.9,2848.7,3900.6,0.0,2277.8,3976.6,3763.6,3539.1
D03,2289.0,1101.5,2609.5,433.7,64.5,1067.0,2276.6,1637.2,2161.4,2704.6,3179.7,2077.9,3390.4,1368.2,1351.8,648.6,2283.2,2274.1,0.0,3394.3,1563.5,1333.0
D04,3967.3,3709.9,4191.8,2985.3,3360.8,2612.3,1783.4,4640.4,3945.9,1373.5,237.3,3500.5,6.3,4051.4,3678.3,3346.2,1817.1,3974.7,3390.4,0.0,3880.4,4103.3
D05,3770.2,2627.9,4086.9,1740.2,1518.4,2497.1,2223.1,3163.5,3657.6,2676.3,3666.5,3516.9,3877.3,657.2,237.7,948.0,2212.0,3755.3,1560.0,3881.2,0.0,922.9
D06,3546.1,2397.3,3862.8,1535.2,1287.8,2272.9,2715.5,2932.9,3433.4,3168.7,3867.7,3292.7,4078.4,334.7,706.8,761.2,2704.4,3531.1,1329.4,4082.3,918.5,0.0
